iter	Passed	Remaining
766	1716	521
767	1717	518
768	1718	516
769	1719	513
770	1723	511
771	1724	509
772	1726	506
773	1727	504
774	1728	501
775	1729	499
776	1730	496
777	1732	494
778	1733	491
779	1734	489
780	1736	486
781	1738	484
782	1740	482
783	1741	479
784	1742	477
785	1743	474
786	1745	472
787	1746	469
788	1747	467
789	1748	464
790	1749	462
791	1752	460
792	1753	457
793	1755	455
794	1757	453
795	1758	450
796	1759	448
797	1760	445
798	1761	443
799	1763	440
800	1764	438
801	1766	436
802	1769	434
803	1770	431
804	1772	429
805	1774	427
806	1776	424
807	1778	422
808	1779	420
809	1780	417
810	1784	415
811	1788	413
812	1789	411
813	1791	409
814	1792	406
815	1793	404
816	1795	402
817	1801	400
818	1802	398
819	1804	396
820	1806	393
821	1807	391
822	1808	389
823	1810	386
824	1814	384
825	1816	382
826	1817	380
827	1818	377
828	1820	375
829	1821	373
830	1822	370
831	1823	368
832	1824	365
833	1826	363
834	1829	361
835	1830	359
836	1831	356
837	1833	354
838	1834	351
839	1835	349
840	1836	347
841	1837	344
842	1839	342
843	1840	340
844	1844	338
845	1845	335
846	1846	333
847	1847	331
848	1849	328
849	1850	326
850	1851	324
851	1852	321
852	1853	319
853	1855	317
854	1858	315
855	1859	312
856	1861	310
857	1862	308
858	1863	305
859	1864	303
860	1865	301
861	1867	298
862	1868	296
863	1869	294
864	1870	291
865	1873	289
866	1875	287
867	1876	285
868	1878	283
869	1879	280
870	1880	278
871	1881	276
872	1883	273
873	1884	271
874	1885	269
875	1889	267
876	1890	265
877	1892	262
878	1893	260
879	1894	258
880	1895	256
881	1896	253
882	1898	251
883	1899	249
884	1900	246
885	1904	245
886	1905	242
887	1907	240
888	1909	238
889	1910	236
890	1911	233
891	1913	231
892	1914	229
893	1915	227
894	1918	225
895	1920	222
896	1921	220
897	1922	218
898	1923	216
899	1924	213
900	1926	211
901	1927	209
902	1928	207
903	1929	204
904	1930	202
905	1934	200
906	1935	198
907	1937	196
908	1938	194
909	1939	191
910	1940	189
911	1941	187
912	1943	185
913	1944	182
914	1945	180
915	1948	178
916	1949	176
917	1951	174
918	1953	172
919	1954	169
920	1955	167
921	1956	165
922	1957	163
923	1959	161
924	1960	158
925	1963	156
926	1965	154
927	1966	152
928	1967	150
929	1968	148
930	1969	145
931	1970	143
932	1972	141
933	1973	139
934	1974	137
935	1975	135
936	1978	133
937	1980	130
938	1981	128
939	1983	126
940	1984	124
941	1985	122
942	1986	120
943	1987	117
944	1989	115
945	1990	113
946	1992	111
947	1995	109
948	1997	107
949	1998	105
950	2000	103
951	2001	100
952	2002	98
953	2003	96
954	2004	94
955	2006	92
956	2009	90
957	2010	88
958	2012	86
959	2013	83
960	2014	81
961	2015	79
962	2017	77
963	2018	75
964	2019	73
965	2020	71
966	2024	69
967	2025	66
968	2026	64
969	2028	62
970	2030	60
971	2031	58
972	2032	56
973	2033	54
974	2035	52
975	2036	50
976	2039	48
977	2040	45
978	2042	43
979	2043	41
980	2044	39
981	2045	37
982	2046	35
983	2048	33
984	2049	31
985	2050	29
986	2053	27
987	2055	24
988	2056	22
989	2057	20
990	2058	18
991	2059	16
992	2061	14
993	2062	12
994	2063	10
995	2064	8
996	2065	6
997	2069	4
998	2070	2
999	2072	0
